category,type,lon,lat,name,suburb
Crafts and Hobbies,Memorials,143.897622,-38.63159,Queen Victoria Gardens,SEPARATION CREEK
Crafts and Hobbies,Memorials,141.07233304,-36.17131901,Alexandra Park,SERVICETON
Crafts and Hobbies,Sculpture,145.49004396,-37.76747503,Parliament Reserve,SEVILLE EAST
Crafts and Hobbies,Memorials,146.03711105,-38.14507515,Fitzroy Gardens,SHADY CREEK
Crafts and Hobbies,Sculpture,143.1278697,-37.06097871,Queen Victoria Gardens,SHAYS FLAT
Crafts and Hobbies,Sculpture,145.671831,-36.79136502,Channel 7 Melbourne Broad Cast Centre,SHEANS CREEK
Crafts and Hobbies,Sculpture,144.03138498,-36.79677701,National@Docklands,SHELBOURNE
Crafts and Hobbies,Sculpture,147.64157102,-36.15884201,Shrine of Remembrance Reserve,SHELLEY
Crafts and Hobbies,Memorials,145.35195954,-36.3515436,Hardy Reserve,SHEPPARTON
Crafts and Hobbies,Sculpture,145.41576695,-36.32432002,Fitzroy Gardens,SHEPPARTON NORTH
Crafts and Hobbies,Sculpture,145.00017643,-38.41645552,Fitzroy Gardens,SHOREHAM
Crafts and Hobbies,Sculpture,145.405267,-37.86330696,Victoria Market Reserve,SILVAN
Crafts and Hobbies,Sculpture,143.14993832,-38.44562417,Enterprize Park,SIMPSON
Crafts and Hobbies,Horology,143.75774396,-37.00644398,Flagstaff Gardens,SIMSON
Crafts and Hobbies,Sculpture,143.73215505,-38.70390556,Exhibition Building & Melbourne Museum,SKENES CREEK NORTH
Crafts and Hobbies,Sculpture,143.60211002,-36.34099497,City Square,SKINNERS FLAT
Crafts and Hobbies,Memorials,145.18751901,-38.12360901,Shrine of Remembrance Reserve,SKYE
Crafts and Hobbies,Sculpture,143.97870304,-37.36135902,Kings Domain South,SMEATON
Crafts and Hobbies,Sculpture,145.28588604,-37.650499,150 Collins Street,SMITHS GULLY
Crafts and Hobbies,Sculpture,146.99810733,-36.83410976,Fitzroy Gardens,SMOKO
Crafts and Hobbies,Sculpture,143.61642677,-37.64708779,City Square,SMYTHESDALE
Crafts and Hobbies,Sculpture,143.65135201,-37.57693003,Carlton Gardens South,SNAKE VALLEY
Crafts and Hobbies,Sculpture,145.19239581,-38.40086871,Docklands Park,SOMERS
Crafts and Hobbies,Memorials,145.14833297,-38.24730798,Exhibition Building & Melbourne Museum,SOMERVILLE
Crafts and Hobbies,Sculpture,145.57614405,-38.58415796,Lincoln Square,SOUTH DUDLEY
