category,type,lon,lat,name,suburb
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),141.3046483,-37.2477003,Carlton Gardens North,POWERS CREEK
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),144.98420139,-37.85066723,Kings Domain,PRAHRAN
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),144.97054859,-37.77915274,Treasury Gardens,PRINCES HILL
Traveling,Art Gallery/Museum,145.08128203,-36.99962599,Australian Centre for Contemporary Art,PUCKAPUNYAL
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),142.43592096,-37.91209026,Queen Victoria Gardens,PURDEET
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),142.54739387,-38.31418788,Federation Square,PURNIM WEST
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),143.99177503,-36.11671503,New Quay,PYRAMID HILL
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),142.08133402,-36.77000897,Newmarket Reserve,QUANTONG
Traveling,Art Gallery/Museum,144.63400815,-38.27290471,Melbourne Museum,QUEENSCLIFF
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),145.81998594,-38.37925058,J.J Holland Park,RANCEBY
Traveling,Art Gallery/Museum,143.51206498,-37.00642903,National Sports Museum,RATHSCAR WEST
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),146.39574302,-37.97080904,Flagstaff Gardens,RAWSON
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),145.04041605,-38.33573704,Fawkner Park,RED HILL
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),143.721482,-37.18909102,Fitzroy Gardens,RED LION
Traveling,Art Gallery/Museum,143.22725629,-36.88843498,Sinclair's Cottage,REDBANK
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),144.53876318,-37.07365514,Enterprize Park,REDESDALE
Traveling,Art Gallery/Museum,142.60118853,-35.89947569,Koorie Heritage Trust Inc,REEDY DAM
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),143.86229069,-35.6884593,Macarthur Square,REEDY LAKE
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),145.17965178,-37.68607726,Westgate Park,RESEARCH
Traveling,Art Gallery/Museum,146.61184559,-37.44152011,Cooks' Cottage,REYNARD
Traveling,Art Gallery/Museum,145.26653202,-38.49118003,Royal Exhibition Building,RHYLL
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),142.731565,-36.81447304,Sandridge Rail Bridge,RIACHELLA
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),142.94319918,-36.47489348,Lincoln Square,RICH AVON EAST
Traveling,Art Gallery/Museum,145.00615822,-37.83149616,The Museum Of Australian Chinese History,RICHMOND
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),144.66312904,-37.39229503,Carlton Gardens South,RIDDELLS CREEK
Traveling,Art Gallery/Museum,145.22901226,-37.83948606,Old Melbourne Gaol Crime & Justice Experience,RINGWOOD
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),144.35180096,-38.12760096,Batman Park,RIPPLESIDE
Traveling,Art Gallery/Museum,142.21407598,-36.74082898,Polly Woodside,RIVERSIDE
Traveling,Art Gallery/Museum,146.749849,-38.65230711,Victorian Arts Centre,ROBERTSONS BEACH
Traveling,Art Gallery/Museum,144.62987205,-36.40667291,The Ian Potter Centre: NGV Australia,ROCHESTER
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),142.84046504,-37.32133396,Birrarung Marr,ROCKY POINT
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),143.81691601,-37.87060796,Riverslide Skate Park,ROKEWOOD
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),144.66812846,-37.35418408,Royal Park,ROMSEY
Traveling,Informal Outdoor Facility (Park/Garden/Reserve),146.63148496,-36.80529815,Shrine of Rembrance Reserve,ROSE RIVER
