category,type,lon,lat,name,suburb
Artistic Pursuits,Theatre Live,144.163826,-36.27502477,FairFax Studio,PRAIRIE
Artistic Pursuits,Art Gallery/Museum,143.20324003,-38.60526604,Australian Centre for Contemporary Art,PRINCETOWN
Artistic Pursuits,Film & RV Studio,143.59451397,-35.93486999,Central City Studios,QUAMBATOOK
Artistic Pursuits,Art Gallery/Museum,144.27274201,-36.78407901,Melbourne Museum,QUARRY HILL
Artistic Pursuits,Theatre Live,145.49745727,-38.41642098,Hamer Hall,QUEENSFERRY
Artistic Pursuits,Art Gallery/Museum,143.54342196,-36.94387198,National Sports Museum,RATHSCAR
Artistic Pursuits,Theatre Live,144.72371,-37.75075297,Athanaeum Theatre,RAVENHALL
Artistic Pursuits,Theatre Live,147.71243367,-37.95427038,Her Majesty's Theatre,RAYMOND ISLAND
Artistic Pursuits,Art Gallery/Museum,143.82728504,-37.58071,Sinclair's Cottage,REDAN
Artistic Pursuits,Art Gallery/Museum,145.13172599,-37.23941604,Koorie Heritage Trust Inc,REEDY CREEK
Artistic Pursuits,Art Gallery/Museum,144.98489351,-37.72755715,Cooks' Cottage,RESERVOIR
Artistic Pursuits,Art Gallery/Museum,143.71785802,-36.689813,Royal Exhibition Building,RHEOLA
Artistic Pursuits,Art Gallery/Museum,142.84500678,-36.4648222,The Museum Of Australian Chinese History,RICH AVON WEST
Artistic Pursuits,Art Gallery/Museum,145.57147501,-36.70156496,Old Melbourne Gaol Crime & Justice Experience,RIGGS CREEK
Artistic Pursuits,Theatre Live,145.25588704,-37.79656102,Playhouse,RINGWOOD EAST
Artistic Pursuits,Art Gallery/Museum,144.9967575,-37.88343678,Polly Woodside,RIPPONLEA
Artistic Pursuits,Art Gallery/Museum,146.97959848,-38.02113606,Victorian Arts Centre,RIVERSLEA
Artistic Pursuits,Art Gallery/Museum,142.80288523,-34.60593342,The Ian Potter Centre: NGV Australia,ROBINVALE
Artistic Pursuits,Film & RV Studio,144.66300545,-37.33199168,Channel 7 - Melbourne Broadcast Centre,ROCHFORD
Artistic Pursuits,Theatre Live,144.66782838,-37.74465919,MTC Theatre,ROCKBANK
Artistic Pursuits,Art Gallery/Museum,144.58973296,-36.11102199,Victoria Police Museum,ROSLYNMEAD
Artistic Pursuits,Art Gallery/Museum,142.88414598,-37.56507998,Immigration Museum,ROSSBRIDGE
Artistic Pursuits,Art Gallery/Museum,144.41282413,-37.72331268,Fire Services Museum Victoria,ROWSLEY
Artistic Pursuits,Art Gallery/Museum,144.91270768,-37.61059588,The Ian Potter Museum Of Art,ROXBURGH PARK
Artistic Pursuits,Art Gallery/Museum,147.05955423,-36.51869995,Australian Centre For The Moving Image (ACMI),RUNNING CREEK
Artistic Pursuits,Theatre Live,147.36813391,-37.57815275,State Theatre,RYANS
Artistic Pursuits,Theatre Live,144.78362669,-38.3877943,St Martins Youth Arts Centre,RYE
Artistic Pursuits,Theatre Live,145.02688902,-38.30422598,Princess Theatre,SAFETY BEACH
Artistic Pursuits,Theatre Live,144.21731998,-36.70481202,Regent Theatre,SAILORS GULLY
Artistic Pursuits,Theatre Live,146.04293301,-36.79301496,Malthouse Theatre,SAMARIA
Artistic Pursuits,Art Gallery/Museum,141.42190545,-37.63962231,Thoroughbred Racing Gallery,SANDFORD
Artistic Pursuits,Art Gallery/Museum,146.08252081,-38.81568789,Fox Classic Car Collection,SANDY POINT
Artistic Pursuits,Theatre Live,143.95689897,-37.72780299,Carlton Courthouse Theatre,SCOTSBURN
Artistic Pursuits,Theatre Live,143.03303728,-35.49080025,Comedy Theatre,SEA LAKE
Artistic Pursuits,Theatre Live,147.41636827,-38.09637426,La Mama Theatre,SEACOMBE
Artistic Pursuits,Theatre Live,144.85089313,-37.86391583,Forum Theatre,SEAHOLME
Artistic Pursuits,Memorials,144.06262499,-36.42360502,Queen Victoria Gardens,SERPENTINE
Artistic Pursuits,Memorials,145.456787,-37.79496403,Alexandra Park,SEVILLE
Artistic Pursuits,Sculpture,145.11482903,-37.00198498,Parliament Reserve,SEYMOUR
Artistic Pursuits,Memorials,147.41522802,-36.92173401,Fitzroy Gardens,SHANNONVALE
Artistic Pursuits,Sculpture,144.17314506,-37.91289308,Queen Victoria Gardens,SHE OAKS
