category,type,lon,lat,name,suburb
Group Fitness,Aerobics,146.6725295,-36.99902764,Mount Beauty Pool & Stadium,ABBEYARD
Group Fitness,Aerobics,144.99137102,-37.809605,Anytime Fitness Ballarat,ABBOTSFORD
Group Fitness,Aerobics,144.90156879,-37.76541017,Anytime Fitness Mount Clear,ABERFELDIE
Group Fitness,Aerobics,146.36124004,-37.68178198,Ballarat Squash and Raquetball,ABERFELDY
Group Fitness,Aerobics,145.64164788,-37.31343873,Contours Wendouree,ACHERON
Group Fitness,Aerobics,145.90546746,-37.81638296,CrossFit Ballarat,ADA
Group Fitness,Aerobics,145.529139,-38.42198396,Curves Sebastopol,ADAMS ESTATE
Group Fitness,Aerobics,143.65723896,-37.36755603,Curves Wendouree,ADDINGTON
Group Fitness,Aerobics,143.71166099,-37.07672997,Fernwood Ballarat,ADELAIDE LEAD
Group Fitness,Aerobics,146.39958428,-38.65142891,O'Briens Kickboxing & Boxing Gym,AGNES
Group Fitness,Aerobics,144.68011665,-37.73796729,On Track Personal Fitness,AINTREE
Group Fitness,Aerobics,143.59030218,-38.70102013,Spartans Gym and Supplements,AIRE VALLEY
Group Fitness,Aerobics,144.13090964,-38.4373685,Tennis Ballarat,AIREYS INLET
Group Fitness,Aerobics,147.12651233,-38.01450074,UniSports,AIRLY
Group Fitness,Aerobics,144.86383093,-37.72821095,Genesis Bundoora,AIRPORT WEST
Group Fitness,Aerobics,141.9995084,-35.79785664,Benalla Aquatic Centre,ALBACUTYA
Group Fitness,Aerobics,144.77871798,-37.74663298,Ashburton Pool and Recreation Centre,ALBANVALE
Group Fitness,Aerobics,144.97894198,-37.85245499,Balwyn Leisure Centre,ALBERT PARK
Group Fitness,Aerobics,146.61158997,-38.61006899,Body World Hawthorn East,ALBERTON
Group Fitness,Aerobics,146.61158997,-38.61006899,Boroondara Sports Complex,ALBERTON WEST
Group Fitness,Aerobics,144.81611096,-37.76612199,Contours Hawthorn,ALBION
Group Fitness,Aerobics,145.68198899,-37.16209699,Fernwood Women's Health Club Camberwell,ALEXANDRA
Group Fitness,Aerobics,143.81889995,-37.55567299,Goodlife Health Club Camberwell,ALFREDTON
Group Fitness,Aerobics,146.03301896,-38.33150617,Goodlife Health Clubs Balwyn,ALLAMBEE
Group Fitness,Aerobics,146.04503111,-38.26671299,Hawthorn Aquatic and Leisure Centre,ALLAMBEE RESERVE
Group Fitness,Aerobics,146.07551804,-38.330633,Kew Recreation Centre,ALLAMBEE SOUTH
Group Fitness,Aerobics,146.9744678,-36.2799442,Vital Habits Personal Training,ALLANS FLAT
Group Fitness,Aerobics,142.61169499,-38.35049798,Your Gym Surrey Hills,ALLANSFORD
Group Fitness,Aerobics,143.88353903,-37.37049602,Athletique Health Club Preston,ALLENDALE
Group Fitness,Aerobics,141.6380389,-38.29245406,Fernwood Women's Health Club Preston,ALLESTREE
Group Fitness,Aerobics,143.70907898,-37.02151496,Genesis Fitness Club Preston,ALMA
Group Fitness,Aerobics,146.08118202,-36.25517053,Northcote Aquatic & Recreation Centre,ALMONDS
Group Fitness,Aerobics,145.54782299,-38.44304599,Reservoir Leisure Centre,ALMURTA
Group Fitness,Aerobics,145.027418,-37.76623001,The Fitness Club,ALPHINGTON
Group Fitness,Aerobics,144.80839435,-37.88199554,Contours Express Sunbury,ALTONA
Group Fitness,Aerobics,144.80839435,-37.88199554,Contours Greenvale,ALTONA MEADOWS
Group Fitness,Aerobics,144.86566797,-37.83307998,CrossFit Merciless,ALTONA NORTH
Group Fitness,Aerobics,143.50415171,-38.25864282,Curves Gladstone Park,ALVIE
Group Fitness,Aerobics,143.70745598,-37.144453,Fernwood Women's Health Club Tullamarine,AMHERST
Group Fitness,Aerobics,146.39225743,-37.93055691,Focus Health and Fitness,AMOR
Group Fitness,Aerobics,143.41897899,-37.133776,Life Fitness Centre,AMPHITHEATRE
Group Fitness,Aerobics,144.351415,-38.014717,OnTarget Fitness,ANAKIE
Group Fitness,Aerobics,145.81814378,-37.02013832,Powercore Fitness,ANCONA
Group Fitness,Aerobics,145.46788436,-38.51585455,Re-creation Health Club Sunbury,ANDERSON
Group Fitness,Aerobics,147.46914798,-37.05104798,Unique Female Fitness,ANGLERS REST
Group Fitness,Aerobics,144.13090964,-38.4373685,Beach House Health & Fitness Boronia,ANGLESEA
Group Fitness,Aerobics,142.91449399,-34.78003796,Boronia Busybodies Health & Fitness Centre,ANNUELLO
Group Fitness,Aerobics,141.91574901,-36.22227196,Curves Ferntree Gully,ANTWERP
Group Fitness,Aerobics,143.618346,-38.794441,Fernwood Women's Health Club,APOLLO BAY
Group Fitness,Aerobics,143.91854687,-35.88028625,Fitness First Health Clubs,APPIN
Group Fitness,Aerobics,143.91905003,-35.89673496,Future Health & Fitness,APPIN SOUTH
Group Fitness,Aerobics,140.97016465,-36.87955898,Genesis Wantirna,APSLEY
Group Fitness,Aerobics,141.80163709,-36.77282012,Goodlife Health Clubs,ARAPILES
Group Fitness,Aerobics,142.91954799,-37.20295816,Jetts Fitness Boronia,ARARAT
Group Fitness,Aerobics,145.91255211,-38.37655525,Knox Leisureworks YMCA,ARAWATA
Group Fitness,Aerobics,146.83656702,-37.4466926,Platinum Health & Fitness Centre,ARBUCKLE
