category,type,lon,lat,name,suburb
Low-Stress Hobbies,Croquet,146.08489901,-36.09919803,Alexandra Croquet Club,BOOMAHNOOMOONAH
Low-Stress Hobbies,Croquet,142.98324624,-38.21431479,Ballarat Western Croquet Club,BOORCAN
Low-Stress Hobbies,Croquet,146.28312005,-36.18207103,Ivanhoe Park,BOORHAMAN EAST
Low-Stress Hobbies,Croquet,146.25565386,-37.15703114,Phillip Island Croquet Club,BOOROLITE
Low-Stress Hobbies,Croquet,143.89624131,-36.18210963,Wonthaggi Recreation Reserve,BOORT
Low-Stress Hobbies,Croquet,146.35936602,-36.26408202,Drouin Croquet Club,BORALMA
Low-Stress Hobbies,Croquet,145.258568,-37.86875999,Warragul Bowling Club & Croquet Club,BORONIA
Low-Stress Hobbies,Croquet,143.13110784,-38.33111353,Brighton Croquet Club,BOSTOCKS CREEK
Low-Stress Hobbies,Croquet,143.18236003,-34.77620202,Sandringham Tennis/Croquet Club,BOUNDARY BEND
Low-Stress Hobbies,Croquet,146.0679495,-36.25511019,Warleigh Croquet Club,BOWEYA
Low-Stress Hobbies,Croquet,146.57629507,-36.47480777,Eaglehawk Croquet Club,BOWMANS FOREST
Low-Stress Hobbies,Croquet,145.11580402,-37.8126,Golden Square Bowling and Croquet Club,BOX HILL
Low-Stress Hobbies,Croquet,145.13629996,-37.83040099,Glenferrie Hill Bowls Club,BOX HILL SOUTH
Low-Stress Hobbies,Croquet,144.00638998,-36.92880596,Charlton Croquet Club,BRADFORD
Low-Stress Hobbies,Croquet,145.14080425,-38.01074052,Wycheproof Bowls Club,BRAESIDE
Low-Stress Hobbies,Croquet,141.91502188,-37.91186063,Kyabram Bowls Club,BRANXHOLME
Low-Stress Hobbies,Croquet,144.84710675,-37.7790675,Maryborough VRI Croquet Club,BRAYBROOK
Low-Stress Hobbies,Croquet,144.36478598,-38.18195699,Colac Tennis Club,BREAKWATER
Low-Stress Hobbies,Croquet,143.64789103,-36.51147702,Terang Cricket Oval,BRENANAH
Low-Stress Hobbies,Croquet,147.02664698,-37.83064299,Dandenong Croquet & Bowls Club,BRIAGOLONG
Low-Stress Hobbies,Croquet,146.093346,-36.97002003,Rotary Park Bairnsdale,BRIDGE CREEK
Low-Stress Hobbies,Croquet,144.04457305,-36.51730496,Frankston Croquet Club,BRIDGEWATER NORTH
Low-Stress Hobbies,Croquet,147.07572898,-36.62824304,Alexandra Park,BRIGHT
Low-Stress Hobbies,Croquet,145.00459697,-37.92938403,Drysdale bowls Clubs,BRIGHTON EAST
Low-Stress Hobbies,Croquet,141.46086796,-37.38358696,Francis Street Reserve,BRIMBOAL
Low-Stress Hobbies,Croquet,142.25919601,-37.14238501,Caulfield Park,BRIMPAEN
Low-Stress Hobbies,Croquet,141.70326803,-37.40987399,Elsternwick Croquet Club,BRIT BRIT
Low-Stress Hobbies,Croquet,147.74549496,-37.85917,Casterton Croquet Club,BROADLANDS
Low-Stress Hobbies,Croquet,142.14447796,-38.08065199,Henty Park,BROADWATER
Low-Stress Hobbies,Croquet,145.91920636,-36.46621514,Williamstown Croquet Club,BROKEN CREEK
Low-Stress Hobbies,Croquet,144.54954088,-37.7152851,Horsham City Bowls Club,BROOKFIELD
Low-Stress Hobbies,Croquet,147.73499202,-37.30753003,Horsham Lawn Tennis Club,BROOKVILLE
Low-Stress Hobbies,Croquet,141.43001198,-36.18249502,Beechworth Bowls/Croquet Club,BROUGHTON
Low-Stress Hobbies,Croquet,146.66825152,-36.02868269,Hubert Osborne Reserve,BROWNS PLAINS
Low-Stress Hobbies,Croquet,142.92620904,-38.432498,Morwell Recreation Reserve,BRUCKNELL
Low-Stress Hobbies,Croquet,144.95386003,-37.75423099,Boort Croquet Club,BRUNSWICK
Low-Stress Hobbies,Croquet,144.94965225,-37.77676832,Dixon Field,BRUNSWICK WEST
Low-Stress Hobbies,Croquet,143.073359,-37.37369801,Kyneton Croquet Club,BUANGOR
Low-Stress Hobbies,Croquet,148.20592142,-37.64587181,Jubilee Park,BUCHAN SOUTH
Low-Stress Hobbies,Croquet,144.13060648,-38.23071066,Ringwood Croquet Club,BUCKLEY
Low-Stress Hobbies,Croquet,143.46937601,-36.29513499,Kenny Park Recreation Reserve,BUCKRABANYULE
Low-Stress Hobbies,Croquet,146.31063224,-38.43888046,Mansell Reserve,BUDGEREE
Low-Stress Hobbies,Croquet,145.97908296,-38.63660997,Quandong Park,BUFFALO
Low-Stress Hobbies,Croquet,141.93174903,-37.50644304,Cobram Lawn Tennis Club,BULART
Low-Stress Hobbies,Croquet,143.34212501,-35.275335,Electra Reserve,BULGA
Low-Stress Hobbies,Croquet,144.80471682,-37.66948719,Essendon Cricket Ground,BULLA
Low-Stress Hobbies,Croquet,144.03359799,-37.49847801,Brunswick Malletsports Club,BULLAROOK
Low-Stress Hobbies,Croquet,144.20044004,-37.41145498,Civic Reserve,BULLARTO SOUTH
Low-Stress Hobbies,Croquet,144.47232382,-37.43150828,Castlemaine Bowling Club,BULLENGAROOK
Low-Stress Hobbies,Croquet,147.66837901,-37.67527696,Maldon Croquet Club,BULLUMWAAL
Low-Stress Hobbies,Croquet,145.98331255,-38.10060845,Newstead Bowling Club,BULN BULN EAST
Low-Stress Hobbies,Croquet,145.26025878,-36.19932473,Koroit Recreation Reserve,BUNBARTHA
Low-Stress Hobbies,Croquet,146.08489901,-36.09919803,Elwood Reserve,BUNDALONG
Low-Stress Hobbies,Croquet,147.40315398,-36.980547,Mooroopna Recreation Reserve,BUNDARA
