category,type,lon,lat,name,suburb
Organized Sports,Archery,146.95410312,-36.13334638,Prince of Wales Park,BANDIANA
Organized Sports,Archery,142.53165098,-36.09761902,Hays Paddock,BANGERANG
Organized Sports,Archery,145.13351216,-38.02538389,Donald Recreation Reserve,BANGHOLME
Organized Sports,Archery,147.67862061,-37.95193951,Deledeo Recreation Reserve,BANKSIA PENINSULA
Organized Sports,Archery,142.72883804,-34.80457898,Baxter Park,BANNERTON
Organized Sports,Archery,144.09609196,-38.06478798,Abe Wood Reserve,BANNOCKBURN
Organized Sports,Archery,142.79347404,-35.56255997,HEYWOOD SPORTS PARK,BANYAN
Organized Sports,Archery,142.86728401,-36.63148501,Highett Reserve,BANYENA
Organized Sports,Archery,146.92729932,-36.16536649,Toners Lane Reserve,BARANDUDA
Organized Sports,Archery,144.54131756,-37.11481146,Bulleen Park ,BARFOLD
Organized Sports,Archery,143.97509008,-37.02957536,Pennell Reserve,BARINGHUP
Organized Sports,Archery,143.8973841,-36.92735241,Chewton Bowmen Inc,BARINGHUP WEST
Organized Sports,Archery,145.94748803,-36.93962096,Diamond Valley Archers,BARJARG
Organized Sports,Archery,144.26813898,-37.04662695,Meeniyan Recreation reserve,BARKERS CREEK
Organized Sports,Archery,143.17227898,-36.95758903,South West Target Shooting Complex,BARKLY
Organized Sports,Archery,144.08312985,-37.45329903,RHL Sparks Reserve,BARKSTEAD
Organized Sports,Archery,145.03199104,-35.98520898,Laurie Emmins Reserve,BARMAH
Organized Sports,Archery,144.53101552,-36.67268427,Sherbrooke Archers,BARNADOWN
Organized Sports,Lawn Bowls,140.97123588,-37.22888953,Bright Bowls Club,DORODONG
Organized Sports,Lawn Bowls,141.65753805,-36.95572831,Dederang Bowls Club,DOUGLAS
Organized Sports,Lawn Bowls,143.44903799,-38.18867398,Myrtleford Bowls Club,DREEITE
Organized Sports,Lawn Bowls,146.3321385,-38.30637029,Tawonga Bowls Club,DRIFFIELD
Organized Sports,Lawn Bowls,144.9719506,-38.32799608,Aradale Bowls Club,DROMANA
Organized Sports,Lawn Bowls,145.88403304,-38.141815,Ararat Bowls,DROUIN
Organized Sports,Lawn Bowls,145.85016298,-38.224495,Ararat VRI Bowls Club,DROUIN SOUTH
Organized Sports,Lawn Bowls,145.50428997,-36.15994403,Chalambar Bowls & Golf Club,DRUMANURE
Organized Sports,Lawn Bowls,144.35180096,-38.12760096,Lake Bolac & District Bowling Club,DRUMCONDRA
Organized Sports,Lawn Bowls,144.31993882,-37.27060981,Willaura Bowls Club,DRUMMOND
Organized Sports,Lawn Bowls,142.26718996,-36.69102201,Ballarat Bowling Club,DRUNG
Organized Sports,Lawn Bowls,144.55310568,-38.1692143,Ballarat East Bowling Club,DRYSDALE
Organized Sports,Lawn Bowls,146.13639243,-38.50684497,Ballarat Memorial Bowling Club,DUMBALK
Organized Sports,Lawn Bowls,143.30740101,-35.91963901,Ballarat North Bowling Club,DUMOSA
Organized Sports,Lawn Bowls,142.92287999,-37.97885997,Buninyong Bowling Club,DUNDONNELL
Organized Sports,Lawn Bowls,143.60447701,-36.94706598,Central Wendouree Bowling Club,DUNLUCE
Organized Sports,Lawn Bowls,143.98223905,-37.61598698,City Bowling Club,DUNNSTOWN
Organized Sports,Lawn Bowls,141.32986302,-37.510251,City Oval Bowling Club,DUNROBIN
Organized Sports,Lawn Bowls,143.85697095,-37.713335,Invermay Bowling Club,DURHAM LEAD
Organized Sports,Lawn Bowls,147.29718603,-38.14514599,Learmonth Bowling Club,DUTSON
Organized Sports,Lawn Bowls,141.63654056,-38.29052793,Midlands Golf Course,DUTTON WAY
Organized Sports,Lawn Bowls,147.68343497,-37.87821002,Mount Xavier Golf Course,EAGLE POINT
Organized Sports,Lawn Bowls,144.24675501,-36.70514597,Sebastopol Bowling Club,EAGLEHAWK NORTH
Organized Sports,Lawn Bowls,145.63161501,-36.52066555,Victoria Bowling Club,EARLSTON
Organized Sports,Lawn Bowls,144.32507301,-36.75438997,Webbcona Bowling Club,EAST BENDIGO
Organized Sports,Lawn Bowls,144.971363,-37.80772797,City of Heidleberg Bowling Club ,EAST MELBOURNE
Organized Sports,Lawn Bowls,146.41761401,-36.36683701,De Winton Park,EAST WANGARATTA
Organized Sports,Lawn Bowls,144.02985401,-38.48691596,Heidelberg Golf Club,EASTERN VIEW
Organized Sports,Lawn Bowls,147.64331675,-37.81951213,John Street Reserve,EASTWOOD
Organized Sports,Lawn Bowls,144.83198397,-36.24860604,Petrie Park,ECHUCA
Organized Sports,Lawn Bowls,144.62965998,-36.12957098,Corinella Tennis and Bowls Club,ECHUCA WEST
Organized Sports,Lawn Bowls,143.82037456,-36.87718698,Inverloch Bowling Club,EDDINGTON
Organized Sports,Lawn Bowls,141.45990998,-37.00007299,Phillip Island Bowling Club,EDENHOPE
Organized Sports,Lawn Bowls,146.45063901,-36.660995,San Remo Recreation Reserve,EDI
Organized Sports,Lawn Bowls,145.10434679,-38.03490145,Wonthaggi Bowls Club,EDITHVALE
Organized Sports,Lawn Bowls,146.13126768,-37.45562843,Drouin Bowling Club,EILDON
Organized Sports,Lawn Bowls,146.53104804,-36.34502603,Longwarry Bowls Club Inc.,ELDORADO
Organized Sports,Lawn Bowls,142.96456299,-38.38270803,Neerim District Bowling Club,ELINGAMITE
Organized Sports,Lawn Bowls,145.36957319,-38.41265018,Thorpdale & District Bowling Club Inc,ELIZABETH ISLAND
Organized Sports,Lawn Bowls,142.636683,-38.06431303,Trafalgar Bowls Club Inc,ELLERSLIE
Organized Sports,Lawn Bowls,145.90577798,-38.27845301,Trafalgar Park Bowls Club,ELLINBANK
Organized Sports,Lawn Bowls,144.46937501,-36.50185502,Yarragon Bowling Club Inc,ELMORE
Organized Sports,Lawn Bowls,145.00474441,-37.89581685,Black Rock Bowling Club,ELSTERNWICK
Organized Sports,Lawn Bowls,145.14294088,-37.68677282,Brighton Beach Oval,ELTHAM NORTH
Organized Sports,Lawn Bowls,145.38368396,-37.93809962,Brighton Bowls Club,EMERALD
Organized Sports,Lawn Bowls,144.37379396,-36.82600798,Dendy Park,EMU CREEK
Organized Sports,Lawn Bowls,143.72554097,-37.782336,Easternwick Park Recreation Oval,ENFIELD
Organized Sports,Lawn Bowls,146.13126768,-37.45562843,F L Yott Reserve,ENOCHS POINT
Organized Sports,Lawn Bowls,147.90929001,-37.33387496,Hampton Bowls Club,ENSAY NORTH
