category,type,lon,lat,name,suburb
Team Sports,Badminton,146.61886102,-36.09326496,Alexandra Hall,BARNAWARTHA
Team Sports,Badminton,146.70289541,-36.10908192,Ballarat Ken Kay Badminton Stadium,BARNAWARTHA NORTH
Team Sports,Badminton,146.1694813,-38.40408546,Macleod Recreation & Fitness Centre,BAROMI
Team Sports,Badminton,143.64180096,-38.45161999,Bass Coast Aquatic & Leisure Centre,BARONGAROOK
Team Sports,Badminton,143.58444601,-38.45644704,Drouin Recreation Reserve,BARONGAROOK WEST
Team Sports,Badminton,144.24881085,-38.19596714,EC Leeson Pavillion,BARRABOOL
Team Sports,Badminton,143.42740201,-36.28320996,Logan Park,BARRAKEE
Team Sports,Badminton,143.74278597,-38.62264499,Thorpdale Badminton Club,BARRAMUNGA
Team Sports,Badminton,143.75343297,-35.97248495,United Friendlies Society Reserve ,BARRAPORT
Team Sports,Badminton,143.58000803,-36.04533301,Eaglehawk Badminton & Table Tennis Centre,BARRAPORT WEST
Team Sports,Badminton,144.33340596,-37.46195798,Evolution Sports & Fitness Centre,BARRYS REEF
Team Sports,Badminton,143.8932596,-38.03453298,Charlton Indoor Sports Stadium,BARUNAH PARK
Team Sports,Badminton,143.75223535,-38.02358775,Bamawm Indoor Sports Complex,BARUNAH PLAINS
Team Sports,Badminton,146.73610396,-36.51439703,Campaspe Valley Community Centre,BARWIDGEE
Team Sports,Badminton,146.17279197,-36.963396,Fonterra Sports & Entertainment Centre,BARWITE
Team Sports,Badminton,143.74136374,-38.47918855,Kyabram Sports & Entertainment Centre,BARWON DOWNS
Team Sports,Badminton,144.46899773,-38.28686186,Tongala Leisure Centre,BARWON HEADS
Team Sports,Badminton,144.11948,-37.316738,Cardinia Life,BASALT
Team Sports,Badminton,145.48304564,-38.44380339,Berwick Leisure Centre,BASS
Team Sports,Badminton,144.32161198,-38.10618998,Endeavour Hills Leisure Centre,BATESFORD
Team Sports,Badminton,146.10147907,-36.01287199,Maryborough Sports and Leisure Centre,BATHUMI
Team Sports,Badminton,146.16046479,-37.7521219,Talbot Indoor Recreation Centre,BAW BAW
Team Sports,Badminton,146.25839531,-37.8463277,Camperdown Community Centre,BAW BAW VILLAGE
Team Sports,Badminton,145.10945698,-38.21392302,Terang and District Sport and Recreation Centre,BAXTER
Team Sports,Badminton,143.17601796,-37.28611803,Timboon Indoor Sports Centre,BAYINDEEN
Team Sports,Badminton,145.60014488,-38.18759945,Noble Park Community Centre,BAYLES
Team Sports,Badminton,144.7257082,-37.14388637,Springers Leisure Centre,BAYNTON
Team Sports,Badminton,144.73521765,-37.12651407,Darebin Community Sports Stadium,BAYNTON EAST
Team Sports,Badminton,145.24392096,-37.85222999,Frankston South Recreation Centre,BAYSWATER
Team Sports,Badminton,145.26398626,-37.82800601,Cohuna Education Community Activity Centre,BAYSWATER NORTH
Team Sports,Badminton,145.37948301,-38.02044803,Kerang Basketball Centre,BEACONSFIELD
Team Sports,Badminton,145.37912164,-37.97511135,Deakin YMCA Geelong,BEACONSFIELD UPPER
Team Sports,Badminton,143.62996603,-36.79004799,Leisuretime Centre,BEALIBA
Team Sports,Badminton,145.34993194,-35.91078702,Glen Eira Sports and Aquatic Centre,BEARII
Team Sports,Badminton,144.03216302,-36.31156501,Heywood Community Complex,BEARS LAGOON
Team Sports,Badminton,143.6047437,-35.543373,Bannockburn Community Sports Stadium,BEAUCHAMP
Team Sports,Badminton,143.38972498,-37.388179,Bannockburn Recreation Centre,BEAUFORT
Team Sports,Badminton,145.03593096,-37.97075596,Haddon Recreation Centre,BEAUMARIS
Team Sports,Badminton,143.20312299,-36.67982003,Daylesford ARC Recreation Centre,BEAZLEYS BRIDGE
Team Sports,Badminton,143.74997888,-38.18423299,Dimboola Sports Stadium,BEEAC
Team Sports,Badminton,143.53664843,-38.61342671,Lowan Sports Centre,BEECH FOREST
Team Sports,Badminton,146.61986727,-36.33700092,Altona Badminton Centre,BEECHWORTH
Team Sports,Badminton,145.58906702,-37.89082103,Craigieburn Leisure Centre,BEENAK
Team Sports,Badminton,145.341717,-37.91850302,Rowville Community Centre,BELGRAVE
Team Sports,Badminton,145.330724,-37.92999997,Toongabbie Village Green (hall and oval),BELGRAVE HEIGHTS
Team Sports,Badminton,145.38521355,-37.93403601,Traralgon South Recreation Reserve,BELGRAVE SOUTH
Team Sports,Badminton,144.33340302,-38.11969903,Traralgon Sports Stadium,BELL PARK
Team Sports,Badminton,144.30844898,-38.07684998,Boort Community Centre,BELL POST HILL
