FacilityName,Latitude,Longitude,Classification,Category
Mount Beauty Pool & Stadium,-36.740988,147.168502,Aerobics,Group Fitness
Anytime Fitness Ballarat,-37.573219,143.835744,Aerobics,Group Fitness
Anytime Fitness Mount Clear,-37.602661,143.867711,Aerobics,Group Fitness
Ballarat Squash and Raquetball,-37.541994,143.839993,Aerobics,Group Fitness
Contours Wendouree,-37.54018,143.826133,Aerobics,Group Fitness
CrossFit Ballarat,-37.63028,143.836995,Aerobics,Group Fitness
Curves Sebastopol,-37.587151,143.840496,Aerobics,Group Fitness
Curves Wendouree,-37.540176,143.826312,Aerobics,Group Fitness
Fernwood Ballarat,-37.559542,143.858644,Aerobics,Group Fitness
O'Briens Kickboxing & Boxing Gym,-37.542919,143.857592,Aerobics,Group Fitness
On Track Personal Fitness,-37.562484,143.859425,Aerobics,Group Fitness
Spartans Gym and Supplements,-37.542901,143.857062,Aerobics,Group Fitness
Tennis Ballarat,-37.589433,143.829566,Aerobics,Group Fitness
UniSports,-37.625352,143.890766,Aerobics,Group Fitness
Genesis Bundoora,-37.684267,145.071665,Aerobics,Group Fitness
Benalla Aquatic Centre,-36.551055,145.980703,Aerobics,Group Fitness
Ashburton Pool and Recreation Centre,-37.866851,145.085201,Aerobics,Group Fitness
Balwyn Leisure Centre,-37.801945,145.08444,Aerobics,Group Fitness
Body World Hawthorn East,-37.825123,145.057498,Aerobics,Group Fitness
Boroondara Sports Complex,-37.803522,145.087004,Aerobics,Group Fitness
Contours Hawthorn,-37.817632,145.035964,Aerobics,Group Fitness
Fernwood Women's Health Club Camberwell,-37.824678,145.048725,Aerobics,Group Fitness
Goodlife Health Club Camberwell,-37.828742,145.056411,Aerobics,Group Fitness
Goodlife Health Clubs Balwyn,-37.811453,145.067857,Aerobics,Group Fitness
Hawthorn Aquatic and Leisure Centre,-37.820839,145.033478,Aerobics,Group Fitness
Kew Recreation Centre,-37.803608,145.03848,Aerobics,Group Fitness
Vital Habits Personal Training,-37.848,145.076,Aerobics,Group Fitness
