category,type,lon,lat,name,suburb
Adventure Activities,Canoeing,141.90104996,-37.72027,Footscray Boat Club,BOCHARA
Adventure Activities,Canoeing,147.28523151,-36.82647952,Torquay Outrigger Canoe Club,BOGONG
Adventure Activities,Canoeing,145.83832784,-36.66080919,Nestles Rowing Club,BOHO
Adventure Activities,Rowing,147.27423459,-37.77382599,Hawthorn Rowing Club,MOORNAPA
Adventure Activities,Rowing,146.04080096,-36.772987,Howitt Park,MOORNGAG
Adventure Activities,Rowing,145.14833297,-38.24730798,Dimboola Rowing Club,MOOROODUC
Adventure Activities,Rowing,145.35350196,-37.78696899,Horsham Rowing Club,MOOROOLBARK
Adventure Activities,Rowing,145.34984685,-36.4346496,Nagambie Regatta Centre,MOOROOPNA
Adventure Activities,Rowing,145.35195954,-36.3515436,Nagambie Rowing Club,MOOROOPNA NORTH
Adventure Activities,Rowing,145.27730896,-36.35777699,City of Warrnambool Rowing Club,MOOROOPNA NORTH WEST
Adventure Activities,Sailing,144.93756599,-37.26483698,Ballarat Yacht Club,MORANDING
Adventure Activities,Sailing,145.09524496,-37.98490404,Cowes Yacht Club,MORDIALLOC
Adventure Activities,Sailing,141.78891811,-37.72552506,Newhaven Yacht Squadron Inc.,MORGIANA
Adventure Activities,Sailing,144.1618125,-38.2645289,Rhyll Yacht Club,MORIAC
Adventure Activities,Sailing,145.06100227,-38.20092728,South Gippsland Yacht Club,MORNINGTON
Adventure Activities,Sailing,146.89823671,-37.43252627,Beaumaris Motor Yacht Squadron,MOROKA
Adventure Activities,Sailing,144.17622083,-37.80280789,Beaumaris Yacht Club,MORRISONS
Adventure Activities,Sailing,142.93353601,-36.85431899,Black Rock Yacht Club,MORRL MORRL
Adventure Activities,Sailing,142.92287999,-37.97885997,Hampton Sailing Club,MORTLAKE
Adventure Activities,Sailing,142.962195,-36.12607197,Royal Brighton Yacht Club,MORTON PLAINS
Adventure Activities,Sailing,146.36197704,-38.24630896,Sandringham Yacht Club,MORWELL
Adventure Activities,Sailing,147.79503397,-37.72723704,Bendigo Yacht Club,MOSSIFACE
Adventure Activities,Sailing,147.61319388,-36.04197129,Queenscliff Cruising Yacht Club,MOUNT ALFRED
Adventure Activities,Sailing,147.28888709,-36.74029811,Queenscliff Lonsdale Yacht Club,MOUNT BEAUTY
Adventure Activities,Sailing,143.66737403,-37.31647603,Waranga Boat Club Inc,MOUNT BECKWORTH
Adventure Activities,Sailing,146.27782099,-38.61120397,Lakeside Sailing Club- Pakenham,MOUNT BEST
