category,type,lon,lat,name,suburb
Fitness Routines,Carpet Bowls,145.75884796,-36.79964902,Darebin International Sports Centre,BOHO SOUTH
Fitness Routines,Carpet Bowls,141.48708381,-35.03155543,Keon Park Youth Club & Community Hall,BOINKA
Fitness Routines,Carpet Bowls,143.03150299,-36.74531196,Bairnsdale Squash and Table Tennis,BOLANGUM
Fitness Routines,Carpet Bowls,143.03307396,-34.9947268,Seabrook Community Centre Indoor Bowls,BOLTON
Fitness Routines,Carpet Bowls,144.14411778,-37.52710775,Broadmeadows Basketball Stadium,BOLWARRAH
Fitness Routines,Carpet Bowls,148.70701098,-37.30026102,Gaskin Park Stadium,BONANG
Fitness Routines,Carpet Bowls,146.95937552,-36.14811459,James Boyle Hall,BONEGILLA
Fitness Routines,Carpet Bowls,144.75947201,-36.38617398,Campbells Creek Community Centre,BONN
Fitness Routines,Carpet Bowls,145.88051498,-37.11335686,Harcourt Leisure Centre,BONNIE DOON
Fitness Routines,Carpet Bowls,143.1929511,-38.16243995,St Mary's Hall,BOOKAAR
Fitness Routines,Carpet Bowls,146.22804096,-38.57574096,Beaufort Golf Bowls Club,BOOLARONG
Fitness Routines,Carpet Bowls,146.31063224,-38.43888046,Dennington Bowls Club,BOOLARRA SOUTH
Fitness Routines,Fitness / Gymnasium Workouts,146.401466,-36.27790696,Bright Sports Centre,BYAWATHA
Fitness Routines,Fitness / Gymnasium Workouts,144.86256029,-37.32480052,Ararat Rural City Recreation and Aquatics Centre,BYLANDS
Fitness Routines,Fitness / Gymnasium Workouts,145.11380899,-36.42951603,4U Health and Fitness,BYRNESIDE
Fitness Routines,Fitness / Gymnasium Workouts,142.08884402,-34.18770897,Ballarat Aquatic Centre,CABARITA
Fitness Routines,Fitness / Gymnasium Workouts,143.8730054,-37.46994508,ACE Aerobics ,CABBAGE TREE
Fitness Routines,Fitness / Gymnasium Workouts,148.59988554,-37.76923143,Anytime Fitness Greensborough,CABBAGE TREE CREEK
Fitness Routines,Fitness / Gymnasium Workouts,144.541358,-37.31048804,Anytime Fitness Heidelberg,CADELLO
Fitness Routines,Fitness / Gymnasium Workouts,144.77871798,-37.74663298,Banyule Netball Stadium,CAIRNLEA
Fitness Routines,Fitness / Gymnasium Workouts,144.76503902,-37.68947296,Bodytone ,CALDER PARK
Fitness Routines,Fitness / Gymnasium Workouts,145.48262092,-38.23158975,Contours Bundoora,CALDERMEADE
Fitness Routines,Fitness / Gymnasium Workouts,144.24600799,-36.73863004,Contours Ivanhoe,CALIFORNIA GULLY
Fitness Routines,Fitness / Gymnasium Workouts,144.13158897,-36.30289799,Contours Montmorency,CALIVIL
Fitness Routines,Fitness / Gymnasium Workouts,142.73169804,-36.76136797,Curves Bundoora,CALLAWADDA
Fitness Routines,Fitness / Gymnasium Workouts,146.62641191,-38.27422519,Curves Greensborough,CALLIGNEE
Fitness Routines,Fitness / Gymnasium Workouts,146.63711548,-38.27577428,F.I.T,CALLIGNEE NORTH
Fitness Routines,Fitness / Gymnasium Workouts,146.62443768,-38.38580754,Gym on Grimshaw,CALLIGNEE SOUTH
Fitness Routines,Fitness / Gymnasium Workouts,146.65489206,-38.49262744,Ivanhoe Aquatic & Fitness Centre,CALROSSIE
Fitness Routines,Fitness / Gymnasium Workouts,147.53812813,-37.76647556,Jetts Fitness Bundoora,CALULU
Fitness Routines,Fitness / Gymnasium Workouts,146.13554842,-37.70207779,Living Well Yoga and Health,CAMBARVILLE
Fitness Routines,Fitness / Gymnasium Workouts,145.05868693,-37.82089911,Macleod YMCA,CAMBERWELL
Fitness Routines,Fitness / Gymnasium Workouts,143.83421534,-37.65383707,Olympic Leisure Centre,CAMBRIAN HILL
Fitness Routines,Fitness / Gymnasium Workouts,144.95628403,-37.68942502,Take2 Fitness For Women,CAMPBELLFIELD
Fitness Routines,Fitness / Gymnasium Workouts,142.731447,-36.95566897,The Rusty Barbell ,CAMPBELLS BRIDGE
Fitness Routines,Fitness / Gymnasium Workouts,144.22670331,-37.08525747,WaterMarc,CAMPBELLS CREEK
Fitness Routines,Fitness / Gymnasium Workouts,144.05049801,-36.60732198,Yarra Swim School,CAMPBELLS FOREST
Fitness Routines,Fitness / Gymnasium Workouts,143.91960704,-37.24944401,Phillip Island leisure Centre,CAMPBELLTOWN
