category,type,lon,lat,name,suburb
Innovative Hobbies,Carpet Bowls,143.03287704,-35.59149401,Darebin International Sports Centre,BOIGBEAT
Innovative Hobbies,Carpet Bowls,146.96766101,-37.90649904,Keon Park Youth Club & Community Hall,BOISDALE
Innovative Hobbies,Carpet Bowls,144.81842252,-37.42669756,Bairnsdale Squash and Table Tennis,BOLINDA
Innovative Hobbies,Carpet Bowls,141.60330876,-38.3109823,Seabrook Community Centre Indoor Bowls,BOLWARRA
Innovative Hobbies,Carpet Bowls,145.99517826,-38.2052023,Broadmeadows Basketball Stadium,BONA VISTA
Innovative Hobbies,Carpet Bowls,145.13200896,-38.06916202,Gaskin Park Stadium,BONBEACH
Innovative Hobbies,Carpet Bowls,144.93675496,-38.39195503,James Boyle Hall,BONEO
Innovative Hobbies,Carpet Bowls,144.69246115,-37.7165917,Campbells Creek Community Centre,BONNIE BROOK
Innovative Hobbies,Carpet Bowls,143.805991,-37.59367099,Harcourt Leisure Centre,BONSHAW
Innovative Hobbies,Carpet Bowls,146.47316398,-37.99849999,St Mary's Hall,BOOLA
Innovative Hobbies,Carpet Bowls,146.23187498,-38.36704702,Beaufort Golf Bowls Club,BOOLARRA
Innovative Hobbies,Carpet Bowls,147.74549496,-37.85917,Dennington Bowls Club,BOOLE POOLE
