category,type,lon,lat,name,suburb
Physical Activities for Stress Relief,Swimming,141.67973337,-38.26765321,Jubilee Park & Swimming Pool,NARRAWONG
Physical Activities for Stress Relief,Swimming,145.28856701,-38.02476001,Ararat Solar Olympic Swimming Pool,NARRE WARREN
Physical Activities for Stress Relief,Swimming,145.31924126,-37.96633406,Lake Bolac Swimming Pool,NARRE WARREN EAST
Physical Activities for Stress Relief,Swimming,145.28952696,-37.99974501,Willaura Swimming Pool,NARRE WARREN NORTH
Physical Activities for Stress Relief,Swimming,145.33534404,-38.07451103,Black Hill Swimming Pool,NARRE WARREN SOUTH
Physical Activities for Stress Relief,Swimming,143.25873037,-34.77865048,Brown Hill Swimming Pool,NARRUNG
Physical Activities for Stress Relief,Swimming,145.10788402,-36.09979997,Buninyong Swimming Pool,NATHALIA
Physical Activities for Stress Relief,Swimming,141.85690697,-36.77837203,Eureka Swimming Complex,NATIMUK
Physical Activities for Stress Relief,Swimming,143.460309,-36.87840503,Midlands Aquatic Play Space,NATTE YALLOCK
Physical Activities for Stress Relief,Swimming,143.03441399,-34.93807904,Sebastopol Aquatic Play Space,NATYA
Physical Activities for Stress Relief,Swimming,143.17325203,-36.95144502,Swim & Survival Academy,NAVARRE
Physical Activities for Stress Relief,Swimming,143.90966578,-37.62164919,UniSports Swimming Pool,NAVIGATORS
Physical Activities for Stress Relief,Swimming,145.95390009,-37.90404761,Wendouree Swimming Pool,NAYOOK
Physical Activities for Stress Relief,Swimming,141.59429957,-34.19100717,Cowes Outdoor Pool,NEDS CORNER
Physical Activities for Stress Relief,Swimming,144.00638998,-36.92880596,Neerim South Swimming pool,NEEREMAN
Physical Activities for Stress Relief,Swimming,145.99620226,-37.94201076,Rawson Indoor Swimming pool,NEERIM
Physical Activities for Stress Relief,Swimming,146.11876723,-38.02910128,Trafalgar Swimming Pool,NEERIM EAST
Physical Activities for Stress Relief,Swimming,145.95390009,-37.90404761,Bendigo Aquatic Centre,NEERIM JUNCTION
Physical Activities for Stress Relief,Swimming,145.99072733,-37.93926626,Bendigo East Swimming Pool,NEERIM NORTH
Physical Activities for Stress Relief,Swimming,145.94158305,-38.05047809,Elmore Swimming Pool,NEERIM SOUTH
Physical Activities for Stress Relief,Swimming,144.31179896,-36.49370304,Golden Square Swimming Pool,NEILBOROUGH
Physical Activities for Stress Relief,Swimming,147.28888709,-36.74029811,Goornong Swimming Pool,NELSE
Physical Activities for Stress Relief,Swimming,141.24298254,-38.06625481,Heathcote Swimming Pool,NELSON
Physical Activities for Stress Relief,Swimming,145.95678387,-38.51426515,Kangaroo Flat Swimming Pool,NERRENA
Physical Activities for Stress Relief,Swimming,142.95303799,-37.70902401,Long Gully Swimming Pool,NERRIN NERRIN
Physical Activities for Stress Relief,Swimming,143.88210004,-37.55243399,Marong Swimming Pool,NERRINA
Physical Activities for Stress Relief,Swimming,143.48076201,-37.50601704,Raywood Swimming Pool,NERRING
Physical Activities for Stress Relief,Swimming,141.77944604,-35.99771597,White Hills Swimming Pool,NETHERBY
Physical Activities for Stress Relief,Swimming,141.15026983,-36.62264906,Deer Park Regional Community Sports Complex,NEUARPURR
Physical Activities for Stress Relief,Swimming,144.60810599,-37.42249202,Flippers Swimming School,NEW GISBORNE
Physical Activities for Stress Relief,Swimming,146.31047503,-38.20070397,Berriwillock Swimming Pool,NEWBOROUGH
Physical Activities for Stress Relief,Swimming,143.94021997,-36.78561904,Birchip Swimming Pool,NEWBRIDGE
Physical Activities for Stress Relief,Swimming,144.26869859,-37.42759117,Charlton Pool,NEWBURY
Physical Activities for Stress Relief,Swimming,144.38408998,-38.17092498,Donald Swimming Pool,NEWCOMB
Physical Activities for Stress Relief,Swimming,142.998461,-38.54115296,Sea Lake Swimming Pool,NEWFIELD
Physical Activities for Stress Relief,Swimming,144.56342697,-37.30638104,Watchem Swimming Pool,NEWHAM
Physical Activities for Stress Relief,Swimming,145.32174449,-38.52897652,Wycheproof Swimming Pool,NEWHAVEN
Physical Activities for Stress Relief,Swimming,143.83903296,-37.55976502,Colbinabbin Pool,NEWINGTON
Physical Activities for Stress Relief,Swimming,147.71327943,-37.92622978,Kyabram Pool,NEWLANDS ARM
Physical Activities for Stress Relief,Swimming,143.95000003,-37.43440281,Lockington Pool,NEWLYN
Physical Activities for Stress Relief,Swimming,144.01833185,-37.38239517,Rochester Pool,NEWLYN NORTH
Physical Activities for Stress Relief,Swimming,148.38453657,-37.77885482,Rushworth Pool,NEWMERELLA
Physical Activities for Stress Relief,Swimming,144.88897597,-37.85782403,Stanhope Pool,NEWPORT
Physical Activities for Stress Relief,Swimming,146.93633345,-37.93820351,Tongala Pool,NEWRY
Physical Activities for Stress Relief,Swimming,144.09984337,-37.097168,Doveton Pool in the Park,NEWSTEAD
Physical Activities for Stress Relief,Swimming,143.62879707,-37.70576324,Dunolly Swim Centre,NEWTOWN
Physical Activities for Stress Relief,Swimming,141.74393402,-36.15491399,Princes Park Precinct (Swimming Pool),NHILL
Physical Activities for Stress Relief,Swimming,142.24459086,-34.24039885,Talbot Swim Centre,NICHOLS POINT
Physical Activities for Stress Relief,Swimming,147.74635503,-37.85891197,Camperdown Swimming Pool,NICHOLSON
Physical Activities for Stress Relief,Swimming,144.89251701,-37.73739801,Cobden Swimming Pool,NIDDRIE
