category,type,lon,lat,name,suburb
Social Sports,Bocce,146.50434357,-38.61490632,Myrtleford Savoy Sports Club,BINGINWARRI
Social Sports,Bocce,147.54977803,-37.01909001,Carrington Drive Block,BINGO MUNJIE
Social Sports,Bocce,142.85156503,-36.02056299,Carrington Reserve,BIRCHIP
Social Sports,Bocce,142.810382,-36.05534698,Churchill Reserve,BIRCHIP WEST
Social Sports,Bocce,142.08884402,-34.18770897,Green Gully Reserve,BIRDWOODTON
Social Sports,Bocce,143.74321423,-38.41546542,Eumemmerring Park,BIRREGURRA
Social Sports,Bocce,145.14557202,-38.32408603,Sydney Pargeter Reserve,BITTERN
Social Sports,Bocce,143.86309301,-37.55627303,Hume Reserve,BLACK HILL
Social Sports,Bocce,142.71708261,-37.15740418,Packer Park,BLACK RANGE
Social Sports,Bocce,145.03593096,-37.97075596,Maltese Bocce Recreation and Social Club,BLACK ROCK
Social Sports,Bocce,145.16006901,-37.83329002,Broadmeadows Leisure Centre,BLACKBURN
Social Sports,Bocce,145.16645498,-37.81200496,Hanging Rock Reserve,BLACKBURN NORTH
Social Sports,Bocce,145.13317295,-37.84753302,Carlson Reserve,BLACKBURN SOUTH
Social Sports,Bocce,142.32861596,-36.50163403,Princess Hwy Reserve,BLACKHEATH
Social Sports,Bocce,146.66609197,-38.41113304,Talbot Park,BLACKWARRY
Social Sports,Bocce,144.26128698,-37.5176658,Truemans Road Reserve,BLACKWOOD
Social Sports,Bocce,144.78865895,-38.36270179,Norris Bank Reserve,BLAIRGOWRIE
Social Sports,Bocce,144.26353329,-37.44629104,Thomas Street Reserve,BLAKEVILLE
Social Sports,Bocce,144.02191201,-37.32611598,V.R. Michael reserve,BLAMPIED
Social Sports,Bocce,145.32672774,-38.23515118,Edinburgh Gardens Bocce Courts ,BLIND BIGHT
Social Sports,Bocce,143.754313,-37.45480602,Hardy Gallagher Reserve Bocce Courts ,BLOWHARD
Social Sports,Bocce,143.65135201,-37.57693003,Len Trewin Reserve,BO PEEP
Social Sports,Lawn Bowls,147.91646805,-37.63591798,Bright Bowls Club,DOUBLE BRIDGES
Social Sports,Lawn Bowls,145.23337838,-37.9656648,Dederang Bowls Club,DOVETON
Social Sports,Lawn Bowls,143.47320898,-38.21537903,Myrtleford Bowls Club,DREEITE SOUTH
Social Sports,Lawn Bowls,141.17538609,-37.99936195,Tawonga Bowls Club,DRIK DRIK
Social Sports,Lawn Bowls,145.47016412,-37.02161793,Aradale Bowls Club,DROPMORE
Social Sports,Lawn Bowls,145.883468,-38.10256896,Ararat Bowls,DROUIN EAST
Social Sports,Lawn Bowls,145.81636701,-38.078424,Ararat VRI Bowls Club,DROUIN WEST
Social Sports,Lawn Bowls,141.50361499,-38.00601297,Chalambar Bowls & Golf Club,DRUMBORG
Social Sports,Lawn Bowls,144.46945303,-36.47230799,Lake Bolac & District Bowling Club,DRUMMARTIN
Social Sports,Lawn Bowls,144.26681404,-37.21429898,Willaura Bowls Club,DRUMMOND NORTH
Social Sports,Lawn Bowls,144.16630103,-37.31292896,Ballarat Bowling Club,DRY DIGGINGS
Social Sports,Lawn Bowls,141.82749241,-36.62049841,Ballarat East Bowling Club,DUCHEMBEGARRA
Social Sports,Lawn Bowls,146.18230199,-38.48669002,Ballarat Memorial Bowling Club,DUMBALK NORTH
Social Sports,Lawn Bowls,143.78454697,-37.21640501,Ballarat North Bowling Club,DUNACH
Social Sports,Lawn Bowls,142.28851195,-37.75553601,Buninyong Bowling Club,DUNKELD
Social Sports,Lawn Bowls,143.081041,-37.23741396,Central Wendouree Bowling Club,DUNNEWORTHY
Social Sports,Lawn Bowls,143.75663105,-36.89870298,City Bowling Club,DUNOLLY
Social Sports,Lawn Bowls,144.23021475,-37.83373415,City Oval Bowling Club,DURDIDWARRAH
Social Sports,Lawn Bowls,143.90831703,-36.04126897,Invermay Bowling Club,DURHAM OX
Social Sports,Lawn Bowls,147.34745184,-38.12925932,Learmonth Bowling Club,DUTSON DOWNS
Social Sports,Lawn Bowls,143.52522626,-38.07949643,Midlands Golf Course,DUVERNEY
Social Sports,Lawn Bowls,144.24448423,-36.73091365,Mount Xavier Golf Course,EAGLEHAWK
Social Sports,Lawn Bowls,145.05193104,-37.76833201,Sebastopol Bowling Club,EAGLEMONT
Social Sports,Lawn Bowls,147.68343497,-37.87821002,Victoria Bowling Club,EAST BAIRNSDALE
Social Sports,Lawn Bowls,144.38453598,-38.16854603,Webbcona Bowling Club,EAST GEELONG
Social Sports,Lawn Bowls,147.13116105,-38.11574297,City of Heidleberg Bowling Club ,EAST SALE
Social Sports,Lawn Bowls,145.70196622,-37.61137529,De Winton Park,EAST WARBURTON
Social Sports,Lawn Bowls,144.01118696,-36.90345799,Heidelberg Golf Club,EASTVILLE
Social Sports,Lawn Bowls,147.02424146,-36.20917803,John Street Reserve,EBDEN
Social Sports,Lawn Bowls,144.85435526,-36.10288208,Petrie Park,ECHUCA VILLAGE
Social Sports,Lawn Bowls,142.85157497,-38.38688603,Corinella Tennis and Bowls Club,ECKLIN SOUTH
Social Sports,Lawn Bowls,145.05525461,-37.44831382,Inverloch Bowling Club,EDEN PARK
Social Sports,Lawn Bowls,144.43843605,-37.19584999,Phillip Island Bowling Club,EDGECOMBE
Social Sports,Lawn Bowls,146.434399,-36.68909197,San Remo Recreation Reserve,EDI UPPER
Social Sports,Lawn Bowls,144.092172,-37.39187696,Wonthaggi Bowls Club,EGANSTOWN
Social Sports,Lawn Bowls,144.08358995,-37.6977547,Drouin Bowling Club,ELAINE
Social Sports,Lawn Bowls,144.12140833,-37.29738322,Longwarry Bowls Club Inc.,ELEVATED PLAINS
Social Sports,Lawn Bowls,143.02478099,-38.32550901,Neerim District Bowling Club,ELINGAMITE NORTH
Social Sports,Lawn Bowls,147.59819198,-37.78237102,Thorpdale & District Bowling Club Inc,ELLASWOOD
Social Sports,Lawn Bowls,143.62206484,-38.35511476,Trafalgar Bowls Club Inc,ELLIMINYT
Social Sports,Lawn Bowls,143.20207782,-37.16557082,Trafalgar Park Bowls Club,ELMHURST
Social Sports,Lawn Bowls,144.411246,-37.03588699,Yarragon Bowling Club Inc,ELPHINSTONE
Social Sports,Lawn Bowls,145.13566087,-37.74089035,Black Rock Bowling Club,ELTHAM
Social Sports,Lawn Bowls,144.98965497,-37.87212901,Brighton Beach Oval,ELWOOD
Social Sports,Lawn Bowls,143.51349196,-36.71142084,Brighton Bowls Club,EMU
Social Sports,Lawn Bowls,145.23337838,-37.9656648,Dendy Park,ENDEAVOUR HILLS
Social Sports,Lawn Bowls,141.76893995,-37.29779301,Easternwick Park Recreation Oval,ENGLEFIELD
Social Sports,Lawn Bowls,147.76018325,-37.32277818,F L Yott Reserve,ENSAY
Social Sports,Lawn Bowls,144.49450696,-36.88570696,Hampton Bowls Club,EPPALOCK
Social Sports,Lawn Bowls,144.29343399,-36.71848599,Hampton R.S.L Bowling Club,EPSOM
Social Sports,Lawn Bowls,146.39477201,-37.97844698,Highett Bowls Club,ERICA
Social Sports,Lawn Bowls,147.11714944,-36.46104452,Royal Melbourne Golf Club,ESKDALE
Social Sports,Lawn Bowls,144.90640503,-37.76059696,Sandringham Bowls Club,ESSENDON
Social Sports,Lawn Bowls,144.89293599,-37.73467,Benalla Bowls Club,ESSENDON NORTH
Social Sports,Lawn Bowls,145.253816,-37.99335298,Moira Benalla Bowls Club,EUMEMMERRING
Social Sports,Lawn Bowls,143.88374604,-37.568014,Swanpool Bowling Club,EUREKA
Social Sports,Lawn Bowls,146.78582155,-36.65233928,Bendigo and District Family Equestrian Malone Park,EUROBIN
Social Sports,Lawn Bowls,143.16189751,-37.22869711,Bendigo Bowling Club,EVERSLEY
Social Sports,Lawn Bowls,146.49692938,-36.40981584,Bendigo East Bowling Club,EVERTON UPPER
Social Sports,Lawn Bowls,144.57522399,-37.74821896,Bendigo Golf Bowling Club,EYNESBURY
Social Sports,Lawn Bowls,145.00195097,-37.79668619,Bendigo VRI Bowling Club,FAIRFIELD
Social Sports,Lawn Bowls,143.76685729,-35.71055422,Eaglehawk Bowling Club,FAIRLEY
Social Sports,Lawn Bowls,147.28099153,-36.92709591,Elmore Bowls Club,FALLS CREEK
Social Sports,Lawn Bowls,145.662679,-37.10959699,Heathcote Bowling Club,FAWCETT
Social Sports,Lawn Bowls,143.57893403,-36.54003602,Kangaroo Flat Bowling Club,FENTONS CREEK
Social Sports,Lawn Bowls,144.38104241,-37.37089923,Lockwood South Bowling Club,FERN HILL
Social Sports,Lawn Bowls,145.94066278,-38.33081216,Marong Bowling Club,FERNDALE
Social Sports,Lawn Bowls,145.73027197,-37.65296096,North Bendigo Bowling Club,FERNSHAW
Social Sports,Lawn Bowls,145.32659626,-37.86658917,Strathfieldsaye Bowling Club,FERNY CREEK
Social Sports,Lawn Bowls,143.89723301,-36.40522099,White Hills Bowls Club,FIERY FLAT
