category,type,lon,lat,name,suburb
Volunteering,Surf Life Saving,144.18954196,-38.11301702,Cape Paterson Surf Beach Life Saving Club,MURGHEBOLUC
Volunteering,Surf Life Saving,146.65751662,-36.4880067,Cape Patterson Surf Life Saving Club,MURMUNGEE
Volunteering,Surf Life Saving,143.28826337,-35.64720872,Inverloch Surf Life Saving Club,MURNUNGIN
Volunteering,Surf Life Saving,143.74635704,-36.68742497,Woolamai Surf Life Saving Club,MURPHYS CREEK
Volunteering,Surf Life Saving,142.326966,-36.40496104,Beaumaris Life Saving Club,MURRA WARRA
Volunteering,Surf Life Saving,143.9894419,-35.55317929,Black Rock Life Saving Club,MURRABIT
Volunteering,Surf Life Saving,143.91016198,-35.52327496,Brighton  Life Saving Club,MURRABIT WEST
Volunteering,Surf Life Saving,143.49657626,-35.30490927,Half Moon Bay Surf Life Saving Club,MURRAWEE
Volunteering,Surf Life Saving,141.86549827,-34.9986433,Hampton Life Saving Club,MURRAY-SUNSET
Volunteering,Surf Life Saving,143.55045701,-35.30106802,Sandringham Life Saving Club,MURRAYDALE
Volunteering,Surf Life Saving,141.122241,-35.05108703,Apollo Bay Surf Life Saving Club,MURRAYVILLE
Volunteering,Surf Life Saving,148.22513707,-37.39559358,Kennett River Surf Life Saving Club,MURRINDAL
Volunteering,Surf Life Saving,145.463011,-37.35820796,Wye River Surf Life Saving Club,MURRINDINDI
Volunteering,Surf Life Saving,143.83787966,-38.39656663,Port Campbell Surf Life Saving Club,MURROON
Volunteering,Surf Life Saving,145.067459,-37.88464523,Lakes Entrance Surf Life Saving Club,MURRUMBEENA
Volunteering,Surf Life Saving,142.39304749,-36.5248497,Mallacoota Surf Life Saving Club,MURTOA
Volunteering,Surf Life Saving,144.21636398,-37.34277097,Seaspray Surf Life Saving Club,MUSK
Volunteering,Surf Life Saving,144.12967001,-37.367048,Woodside Beach Surf Life Saving Club,MUSK VALE
Volunteering,Surf Life Saving,144.60139026,-36.72537231,Frankston Life Saving Club,MUSKERRY
Volunteering,Surf Life Saving,143.99686499,-35.65985703,Seaford Life Saving Club,MYALL
Volunteering,Surf Life Saving,141.77958902,-37.98491201,Bancoora Surf Life Saving Club,MYAMYN
Volunteering,Surf Life Saving,144.14128997,-36.71871502,Barwon Heads/13th Beach,MYERS FLAT
Volunteering,Surf Life Saving,144.58975186,-36.59475069,Ocean Grove Surf Life Saving Club,MYOLA
Volunteering,Surf Life Saving,144.32087698,-37.57879402,Cape Bridgewater Foreshore Reserve,MYRNIONG
Volunteering,Surf Life Saving,146.36827103,-36.76490701,Portland Surf Life Saving Club,MYRRHEE
Volunteering,Surf Life Saving,144.48066867,-36.95993195,Altona Life Saving Club,MYRTLE CREEK
Volunteering,Surf Life Saving,147.0168876,-38.0811117,Williamstown Life Saving Club,MYRTLEBANK
Volunteering,Surf Life Saving,146.78007338,-36.63498583,Aspendale Life Saving Club,MYRTLEFORD
Volunteering,Surf Life Saving,143.82051697,-36.19410298,Bonbeach Life Saving Club,MYSIA
Volunteering,Surf Life Saving,143.74717431,-35.63448084,Carrum Surf Life Saving Club,MYSTIC PARK
Volunteering,Surf Life Saving,145.53154398,-35.869483,Chelsea Longbeach Surf Life Saving Club,MYWEE
Volunteering,Surf Life Saving,145.25704001,-36.81821901,Edithvale Life Saving Club,NAGAMBIE
Volunteering,Surf Life Saving,143.433344,-38.33096602,Mentone Life Saving Club,NALANGIL
Volunteering,Surf Life Saving,145.69925897,-36.41443001,Mordialloc Life Saving Club,NALINGA
Volunteering,Surf Life Saving,146.91241596,-38.09340001,Dromana Bay Life Saving Club,NAMBROK
Volunteering,Surf Life Saving,142.61100622,-35.27634118,Gunnamatta Surf Life Saving Club,NANDALY
Volunteering,Surf Life Saving,145.54705727,-37.87177699,Mornington Life Saving Club,NANGANA
Volunteering,Surf Life Saving,141.35994854,-37.45419133,Mount Martha Life Saving Club,NANGEELA
Volunteering,Surf Life Saving,142.35971629,-34.4987893,Point Leo Surf Life Saving Club,NANGILOC
Volunteering,Surf Life Saving,144.77766798,-36.39906698,Portsea Surf Life Saving Club,NANNEELLA
Volunteering,Surf Life Saving,146.7956067,-37.53529507,Rosebud & McCrea Life Saving Club,NAP NAP MARRA
Volunteering,Surf Life Saving,143.79988921,-37.6544397,Sorrento Surf Life Saving Club,NAPOLEONS
Volunteering,Surf Life Saving,145.57696896,-38.152084,Port Fairy Surf Life Saving Club,NAR NAR GOON
Volunteering,Surf Life Saving,145.53987299,-37.99177699,Elwood Life Saving Club,NAR NAR GOON NORTH
Volunteering,Surf Life Saving,145.67888298,-37.48547203,Port Melbourne Life Saving Club,NARBETHONG
Volunteering,Surf Life Saving,142.56990851,-37.87739724,Sandridge Life Saving Club,NAREEB
Volunteering,Surf Life Saving,141.60641897,-37.37122995,South Melbourne Life Saving Club,NAREEN
Volunteering,Surf Life Saving,143.37652104,-36.17101301,St Kilda Life Saving Club,NAREEWILLOCK
Volunteering,Surf Life Saving,147.97309637,-36.7439574,Venus Bay Surf Life Saving Club,NARIEL VALLEY
Volunteering,Surf Life Saving,145.63181499,-36.01999901,Waratah Beach Surf Life Saving Club,NARING
